"Brand","Model","Price","Rating","NumOffers","PriceFrom","Choice","New"
"Xiaomi","Смартфон  Redmi Note 8T 4/64GB",13990,3,35,13380,"Yes","No"
"DOOGEE","Смартфон  S95 Pro",29949,3,1,NA,"No","No"
"DOOGEE","Смартфон  S40",7990,3,11,7950,"No","No"
"Samsung","Смартфон  Galaxy A51 64GB",19990,3,43,17750,"No","No"
"Xiaomi","Смартфон  Redmi Note 8 Pro 6/128GB",17900,3,45,17900,"Yes","No"
"Xiaomi","Смартфон  Redmi Note 8 Pro 6/64GB",17990,3,43,16400,"Yes","No"
"Xiaomi","Смартфон  Redmi 8 4/64GB",11990,3,29,11300,"Yes","No"
"HUAWEI","Смартфон  P40 Lite 6/128GB",19700,3,1,NA,"No","Yes"
"Honor","Смартфон  20 Lite 4/128GB (RU)",14990,3,13,14550,"No","Yes"
"ZTE","Смартфон  Blade 20 Smart",11990,3,11,11800,"Yes","No"
"Honor","Смартфон  10i 128GB",12990,3,28,12500,"Yes","No"
"HUAWEI","Смартфон  P40 Lite E 4/64GB",12990,4,1,NA,"No","Yes"
"Samsung","Смартфон  Galaxy A50 64GB",13990,3,20,13990,"No","No"
"Samsung","Смартфон  Galaxy A71 6/128GB",29990,3,38,26950,"Yes","No"
"vivo","Смартфон  Y19",12990,3,11,12890,"Yes","No"
"Samsung","Смартфон  Galaxy A10",8990,3,47,8490,"No","No"
"Xiaomi","Смартфон  Redmi Note 8 4/64GB",12450,3,9,12450,"No","No"
"DOOGEE","Смартфон  S68 Pro",20400,1,2,NA,"No","No"
"Apple","Смартфон  iPhone 11 128GB",64990,3,46,64690,"No","No"
"ZTE","Смартфон  Blade A7 (2020) 3/64GB",9990,3,10,9950,"No","No"
"HUAWEI","Смартфон  P30 lite",14990,3,34,13990,"No","No"
"Honor","Смартфон  9X Premium 6/128GB",15490,3,18,15490,"Yes","No"
"Nokia","Смартфон  2720 Flip Dual sim",5550,2,10,5550,"No","No"
"Apple","Смартфон  iPhone 11 64GB",59990,3,38,59690,"No","No"
"Samsung","Смартфон  Galaxy A51 128GB",19990,3,39,19990,"No","No"
"Apple","Смартфон  iPhone 7 32GB",24990,3,37,24690,"No","No"
"Xiaomi","Смартфон  Mi A3 4/64GB Android One",11590,3,8,11590,"No","No"
"Xiaomi","Смартфон  Redmi Note 8T 3/32GB",11990,3,36,11450,"Yes","No"
"vivo","Смартфон  V17",20990,3,13,20990,"Yes","No"
"Samsung","Смартфон  Galaxy A20",12990,3,31,12490,"No","No"
"Honor","Смартфон  20s 6/128GB",19990,3,14,17980,"No","No"
"Xiaomi","Смартфон  Redmi Note 9S 4/64GB",19135,2,2,19135,"No","Yes"
"Samsung","Смартфон  Galaxy A30s 32GB",13990,3,35,13800,"No","No"
"Xiaomi","Смартфон  Redmi 8 3/32GB",9270,3,27,9270,"Yes","No"
"Honor","Смартфон  9X 4/128GB",15990,3,26,14480,"No","No"
"HUAWEI","Смартфон  P smart Z 4/64GB",12990,3,24,12560,"No","No"
"Honor","Смартфон  10 Lite 3/64GB",10990,3,22,10700,"Yes","No"
"Honor","Смартфон  10 Lite 3/32GB",8990,3,7,8990,"Yes","No"
"realme","Смартфон  5 64GB",10990,3,10,10990,"Yes","No"
"Nokia","Смартфон  2.3 32GB Dual Sim",7990,3,8,7600,"Yes","No"
"Honor","Смартфон  8S",6990,3,29,6890,"No","No"
"Samsung","Смартфон  Galaxy S20",69990,2,41,63990,"No","Yes"
"Xiaomi","Смартфон  Redmi 8A 2/32GB",7990,3,26,7690,"No","No"
"OPPO","Смартфон  A5 (2020) 3/64GB",10990,3,6,NA,"Yes","No"
